mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur
4	3	11/2	11/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	29						
4	3	23/4	23/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	30						
4	3	6	6	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	31		ornamentTrill				
4	3	25/4	25/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	32						
4	3	9/2	9/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	33						
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	34						
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	35						
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	36						
5	4	13/2	13/2	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	37						
5	4	13/2	13/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	38						
5	4	7	7	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	39						
5	4	8	8	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	40						
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	41						
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	42						
5	4	8	8	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	43						
5	4	8	8	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	44						
6	5	17/2	17/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	45						
6	5	26/3	26/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	46						
6	5	53/6	53/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	47						
6	5	9	9	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	48						
6	5	19/2	19/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	49						
6	5	29/3	29/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	50						
6	5	59/6	59/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	51						
6	5	10	10	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	52						
6	5	61/6	61/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	53						
6	5	31/3	31/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	54						
6	5	17/2	17/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	55						
6	5	9	9	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	56						
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	57						
6	5	10	10	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	58						
6	5	17/2	17/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	59						
6	5	9	9	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	60						
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	61						
6	5	10	10	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	62						
7	6	21/2	21/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	63		ornamentTrill				
7	6	45/4	45/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	64						
7	6	91/8	91/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	65						
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	66						
7	6	49/4	49/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	67						
7	6	21/2	21/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	68						
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	69						
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	70						
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	71						
7	6	21/2	21/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	72						
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	2	1/8		1/8	1	73						
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	74						
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	2	1/8		1/8	1	75						
8	7	25/2	25/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	76						
8	7	38/3	38/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	77						
8	7	77/6	77/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	78						
8	7	13	13	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	79						
8	7	79/6	79/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	80						
8	7	40/3	40/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	81						
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	82						
8	7	14	14	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	83						
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	84						
8	7	14	14	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	85						
8	7	25/2	25/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	86						
8	7	14	14	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	87						
8	7	25/2	25/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	88						
9	8	29/2	29/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	89		ornamentTrill				
9	8	15	15	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	90						
9	8	29/2	29/2	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	91						
9	8	15	15	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	92						
9	8	29/2	29/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	93						
9	8	61/4	61/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	94						
9	8	31/2	31/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	95						
9	8	63/4	63/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	96						
9	8	16	16	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	97						
9	8	65/4	65/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	98						
10	9	33/2	33/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	99						2
10	9	69/4	69/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	100						2
10	9	139/8	139/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	101						
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	102						
10	9	18	18	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	103						
10	9	33/2	33/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	104						3
10	9	67/4	67/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	105						3
10	9	17	17	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	106						3
10	9	69/4	69/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	107						
10	9	35/2	35/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	108						4
10	9	71/4	71/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	109						4
10	9	18	18	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	110						4
10	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	111						
11	10	37/2	37/2	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	112						
11	10	37/2	37/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	113		ornamentTrill				
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	114						
11	10	81/4	81/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	115						
11	10	37/2	37/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	116						
11	10	75/4	75/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	117						
11	10	19	19	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	118						
11	10	77/4	77/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	119						
11	10	39/2	39/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	120						
11	10	79/4	79/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	121						
11	10	20	20	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	122						
11	10	81/4	81/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	123						
12	11	41/2	41/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	124						5
12	11	21	21	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	125						5
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	126						5
12	11	22	22	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	127						
12	11	41/2	41/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	128						
12	11	83/4	83/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	129						
12	11	21	21	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	130						
12	11	85/4	85/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	131						
12	11	43/2	43/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	132						
12	11	87/4	87/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	133						
12	11	22	22	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	134						
12	11	89/4	89/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	135						
13	12	45/2	45/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	136						
13	12	23	23	0.0	1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	1	137						
13	12	23	23	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	138						
13	12	93/4	93/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	139						
13	12	187/8	187/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	140						
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	141						
13	12	45/2	45/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	142						
13	12	91/4	91/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	143						
13	12	23	23	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	144						
13	12	93/4	93/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	145						
13	12	47/2	47/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	146						
13	12	95/4	95/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	147						
13	12	24	24	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	148						
13	12	97/4	97/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	149						
14	13	49/2	49/2	0.0	0	0	Dynamic	2/4	1	1	0					p					
14	13	49/2	49/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	150						6
14	13	101/4	101/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	151						6
14	13	203/8	203/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	152						
14	13	51/2	51/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	153						
14	13	26	26	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	154						
14	13	49/2	49/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	155						
14	13	99/4	99/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	156						
14	13	25	25	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	157						
14	13	101/4	101/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	158						
14	13	51/2	51/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	159						
14	13	103/4	103/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	160						
14	13	26	26	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	161						
14	13	105/4	105/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	162						
15	14	53/2	53/2	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	163						
15	14	53/2	53/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	164		ornamentTrill				
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	165						
15	14	113/4	113/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	166						
15	14	53/2	53/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	167						
15	14	107/4	107/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	168						
15	14	27	27	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	169						
15	14	109/4	109/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	170						
15	14	55/2	55/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	171						
15	14	111/4	111/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	172						
15	14	28	28	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	173						
15	14	113/4	113/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	174						
16	15	57/2	57/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	175						7
16	15	29	29	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	176						
16	15	59/2	59/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	177						8
16	15	30	30	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	178						
16	15	57/2	57/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	179						
16	15	115/4	115/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	180						
16	15	29	29	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	181						
16	15	117/4	117/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	182						
16	15	59/2	59/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	183						
16	15	119/4	119/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	184						
16	15	30	30	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	185						
16	15	121/4	121/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	186						
17	16	61/2	61/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	187						9
17	16	123/4	123/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	188						
17	16	31	31	0.0	1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	1	189						
17	16	31	31	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	190						
17	16	125/4	125/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	191						
17	16	251/8	251/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	192						
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	193						
17	16	129/4	129/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	194						
17	16	61/2	61/2	0.0	0	0	Dynamic	2/4	2	1	0					f					
17	16	61/2	61/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	195						
17	16	123/4	123/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	196						
17	16	31	31	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	197						
17	16	125/4	125/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	198						
17	16	63/2	63/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	199						
17	16	127/4	127/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	200						
17	16	32	32	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	201						
17	16	129/4	129/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	202						
18	17	65/2	65/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	203						
18	17	98/3	98/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	204						
18	17	197/6	197/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	205						
18	17	33	33	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	206						
18	17	199/6	199/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	207						
18	17	100/3	100/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	208						
18	17	67/2	67/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	209						
18	17	101/3	101/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	210						
18	17	203/6	203/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	211						
18	17	34	34	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	212						
18	17	205/6	205/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	213						
18	17	103/3	103/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	214						
18	17	65/2	65/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	215						
19	18	69/2	69/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	216						
19	18	141/4	141/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	217						
19	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	218						
19	18	36	36	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	219						
19	18	217/6	217/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	220						
19	18	109/3	109/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	221						
19	18	69/2	69/2	0.75	0	0	Chord	2/4	1	2	3/16		1/8	3/2	222						
19	18	141/4	141/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	223						
19	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	224						
19	18	69/2	69/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	225						
19	18	36	36	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	226						
20	19	73/2	73/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	227						
20	19	147/4	147/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	228						
20	19	37	37	0.0	1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	1	229						
20	19	37	37	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	230						
20	19	149/4	149/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	231						
20	19	299/8	299/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	232						
20	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	233						
20	19	38	38	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	234		ornamentTrill				
20	19	73/2	73/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	235						
20	19	37	37	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	236						
20	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	237						
20	19	38	38	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	238						
21	20	77/2	77/2	0.0	0	0	Dynamic	2/4	1	1	0					p					
21	20	77/2	77/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	239						
21	20	116/3	116/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	240						
21	20	233/6	233/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	241						
21	20	39	39	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	242						
21	20	235/6	235/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	243						
21	20	118/3	118/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	244						
21	20	79/2	79/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	245						
21	20	119/3	119/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	246						
21	20	239/6	239/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	247						
21	20	40	40	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	248						
21	20	241/6	241/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	249						
21	20	121/3	121/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	250						
21	20	77/2	77/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	251						
22	21	81/2	81/2	0.0	0	0	Dynamic	2/4	1	1	0					f					
22	21	81/2	81/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	252						
22	21	165/4	165/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	253						
22	21	83/2	83/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	254						
22	21	42	42	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	255						
22	21	253/6	253/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	256						
22	21	127/3	127/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	257						
22	21	81/2	81/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	258						
22	21	42	42	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	259						
23	22	85/2	85/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	260						
23	22	171/4	171/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	261						
23	22	43	43	0.0	1/8	1/8	Chord	2/4	1	1	0	grace16	1/16	1	262						
23	22	43	43	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	263						
23	22	173/4	173/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	264						
23	22	347/8	347/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	265						
23	22	87/2	87/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	266						
23	22	44	44	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	267		ornamentTrill				
23	22	85/2	85/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	268						
23	22	43	43	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	269						
23	22	87/2	87/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	270						
23	22	44	44	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	271						
24	23	89/2	89/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	272						10
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	273						
24	23	89/2	89/2	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	274						11
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	275						
24	23	89/2	89/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	276						
24	23	45	45	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	277						
