mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	tempo_visible
5	4	7	7	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	55				
6	5	9	9	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	56				
6	5	10	10	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	57				
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	58				
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	59				
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	60				
6	5	9	9	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	61				
6	5	9	9	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	62				
6	5	37/4	37/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	63				
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	64				
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	65				
6	5	10	10	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	66				
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	67				
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	68				
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	69				
7	6	11	11	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	70				
7	6	12	12	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	71				
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	72				
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	73				
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	74				
7	6	11	11	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	75				
7	6	45/4	45/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	76				
7	6	23/2	23/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	77				
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	78				
7	6	12	12	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	79				
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	80				
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	81				
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	82				
8	7	13	13	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	83				
8	7	53/4	53/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	84				
8	7	27/2	27/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	85				
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	86				
8	7	14	14	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	87				
8	7	57/4	57/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	88				
8	7	29/2	29/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	89				
8	7	59/4	59/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	90				
8	7	13	13	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	91				
8	7	53/4	53/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	92				
8	7	27/2	27/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	93				
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	94				
8	7	14	14	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	95				
8	7	29/2	29/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	96				
9	8	15	15	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	97				
9	8	15	15	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	98				
9	8	31/2	31/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	99				
10	8	16	16	0.5	0	1/4	Chord	2/4	1	1	1/8		1/8	1	100				
10	8	33/2	33/2	0.5	1/8	3/8	Chord	2/4	1	1	1/8		1/8	1	101				
10	8	16	16	0.5	0	1/4	Chord	2/4	1	2	1/8		1/8	1	102				
10	8	33/2	33/2	0.5	1/8	3/8	Chord	2/4	1	2	1/8		1/8	1	103				
10	8	16	16	0.25	0	1/4	Chord	2/4	2	1	1/16		1/16	1	104				
10	8	65/4	65/4	0.25	1/16	5/16	Chord	2/4	2	1	1/16		1/16	1	105				
10	8	33/2	33/2	0.25	1/8	3/8	Chord	2/4	2	1	1/16		1/16	1	106				
10	8	67/4	67/4	0.25	3/16	7/16	Chord	2/4	2	1	1/16		1/16	1	107				
11	9	17	17	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	108				
11	9	35/2	35/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	109				
11	9	18	18	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	110				
11	9	37/2	37/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	111				
11	9	17	17	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	112				
11	9	35/2	35/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	113				
11	9	18	18	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	114				
11	9	37/2	37/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	115				
11	9	17	17	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	116				
11	9	69/4	69/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	117				
11	9	35/2	35/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	118				
11	9	71/4	71/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	119				
11	9	18	18	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	120				
11	9	73/4	73/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	121				
11	9	37/2	37/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	122				
11	9	75/4	75/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	123				
12	10	19	19	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	124				
12	10	39/2	39/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	125				
12	10	20	20	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	126				
12	10	41/2	41/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	127				
12	10	19	19	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	128				
12	10	39/2	39/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	129				
12	10	19	19	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	130				
12	10	39/2	39/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	131				
12	10	20	20	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	132				
12	10	81/4	81/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	133				
12	10	41/2	41/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	134				
12	10	83/4	83/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	135				
13	11	21	21	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	136				
13	11	43/2	43/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	137				
13	11	22	22	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	138				
13	11	45/2	45/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	139				
13	11	21	21	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	140				
13	11	85/4	85/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	141				
13	11	43/2	43/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	142				
13	11	87/4	87/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	143				
13	11	22	22	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	144				
13	11	89/4	89/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	145				
13	11	45/2	45/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	146				
13	11	91/4	91/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	147				
14	12	23	23	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	148				
14	12	47/2	47/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	149				
14	12	24	24	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	150				
14	12	97/4	97/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	151				
14	12	49/2	49/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	152				
14	12	99/4	99/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	153				
14	12	23	23	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	154				
14	12	47/2	47/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	155				
14	12	24	24	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	156				
14	12	97/4	97/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	157				
14	12	49/2	49/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	158				
14	12	99/4	99/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	159				
15	13	25	25	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	160				
15	13	101/4	101/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	161				
15	13	51/2	51/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	162				
15	13	103/4	103/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	163				
15	13	26	26	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	164				
15	13	105/4	105/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	165				
15	13	53/2	53/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	166				
15	13	107/4	107/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	167				
15	13	25	25	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	168				
15	13	101/4	101/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	169				
15	13	51/2	51/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	170				
15	13	103/4	103/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	171				
15	13	26	26	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	172				
15	13	105/4	105/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	173				
15	13	53/2	53/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	174				
15	13	107/4	107/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	175				
16	14	27	27	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	176				
16	14	109/4	109/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	177				
16	14	55/2	55/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	178				
16	14	111/4	111/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	179				
16	14	28	28	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	180				
16	14	113/4	113/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	181				
16	14	57/2	57/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	182				
16	14	115/4	115/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	183				
16	14	27	27	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	184				
16	14	55/2	55/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	185				
16	14	28	28	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	186				
16	14	113/4	113/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	187				
16	14	57/2	57/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	188				
16	14	115/4	115/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	189				
17	15	29	29	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	190				
17	15	117/4	117/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	191				
17	15	59/2	59/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	192				
17	15	119/4	119/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	193				
17	15	30	30	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	194				
17	15	121/4	121/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	195				
17	15	61/2	61/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	196				
17	15	123/4	123/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	197				
17	15	30	30	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	198				
17	15	29	29	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	199				
17	15	117/4	117/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	200				
17	15	59/2	59/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	201				
17	15	119/4	119/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	202				
17	15	30	30	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	203				
17	15	121/4	121/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	204				
17	15	61/2	61/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	205				
17	15	123/4	123/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	206				
18	16	31	31	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	207				
18	16	125/4	125/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	208				
18	16	63/2	63/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	209				
18	16	127/4	127/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	210				
18	16	32	32	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	211				
18	16	129/4	129/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	212				
18	16	65/2	65/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	213				
18	16	131/4	131/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	214				
18	16	31	31	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	215				
18	16	31	31	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	216				
18	16	125/4	125/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	217				
18	16	63/2	63/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	218				
18	16	127/4	127/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	219				
18	16	32	32	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	220				
18	16	129/4	129/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	221				
18	16	65/2	65/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	222				
18	16	131/4	131/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	223				
19	17	33	33	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	224				
19	17	133/4	133/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	225				
19	17	67/2	67/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	226				
19	17	135/4	135/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	227				
19	17	34	34	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	228				
19	17	137/4	137/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	229				
19	17	69/2	69/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	230				
19	17	139/4	139/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	231				
19	17	34	34	1.0	1/4	1/4	Chord	2/4	1	2	1/4		1/4	1	232				
19	17	33	33	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	233				
19	17	133/4	133/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	234				
19	17	67/2	67/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	235				
19	17	135/4	135/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	236				
19	17	34	34	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	237				
19	17	137/4	137/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	238				
19	17	69/2	69/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	239				
19	17	139/4	139/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	240				
20	18	35	35	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	241				
20	18	141/4	141/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	242				
20	18	71/2	71/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	243				
20	18	143/4	143/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	244				
20	18	36	36	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	245				
20	18	145/4	145/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	246				
20	18	73/2	73/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	247				
20	18	147/4	147/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	248				
20	18	35	35	1.0	0	0	Chord	2/4	1	2	1/4		1/4	1	249				
20	18	35	35	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	250				
20	18	141/4	141/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	251				
20	18	71/2	71/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	252				
20	18	143/4	143/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	253				
20	18	36	36	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	254				
20	18	145/4	145/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	255				
20	18	73/2	73/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	256				
20	18	147/4	147/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	257				
21	19	37	37	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	258				
21	19	149/4	149/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	259				
21	19	75/2	75/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	260				
21	19	151/4	151/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	261				
21	19	38	38	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	262				
21	19	153/4	153/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	263				
21	19	77/2	77/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	264				
21	19	155/4	155/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	265				
21	19	37	37	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	266				
21	19	149/4	149/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	267				
21	19	75/2	75/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	268				
21	19	151/4	151/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	269				
21	19	38	38	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	270				
21	19	153/4	153/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	271				
21	19	77/2	77/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	272				
21	19	155/4	155/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	273				
22	20	39	39	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	274				
22	20	157/4	157/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	275				
22	20	79/2	79/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	276				
22	20	159/4	159/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	277				
22	20	40	40	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	278				
22	20	161/4	161/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	279				
22	20	81/2	81/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	280				
22	20	163/4	163/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	281				
22	20	39	39	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	282				
22	20	79/2	79/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	283				
22	20	40	40	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	284				
22	20	81/2	81/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	285				
23	21	41	41	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	286				
23	21	165/4	165/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	287				
23	21	83/2	83/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	288				
23	21	167/4	167/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	289				
23	21	42	42	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	290				
23	21	169/4	169/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	291				
